RESPOND_ID,EXAMIN_BEGIN_DE,UTILIIZA_MOBILE_APLCTN_MUSIC_PBLPRFR_K_IDOL_AT,UTILIIZA_MOBILE_APLCTN_GAME_AT,UTILIIZA_MOBILE_APLCTN_PHT_AT,UTILIIZA_MOBILE_APLCTN_BRDCST_VIDO_AT,UTILIIZA_MOBILE_APLCTN_CMC_WEBTOON_AT,UTILIIZA_MOBILE_APLCTN_SEARCH_PORTAL_AT,UTILIIZA_MOBILE_APLCTN_FNC_AT,UTILIIZA_MOBILE_APLCTN_ADVANTK_AT,UTILIIZA_MOBILE_APLCTN_TOUR_AT,UTILIIZA_MOBILE_APLCTN_FOOD_ORDER_AT,UTILIIZA_MOBILE_APLCTN_GBRSTRNT_RECOMEND_RESVE_AT,UTILIIZA_MOBILE_APLCTN_SHOPNG_AT,UTILIIZA_MOBILE_APLCTN_WRKOT_AT,UTILIIZA_MOBILE_APLCTN_EWALLET_AT,UTILIIZA_MOBILE_APLCTN_CLEAN_DCCS_AT,UTILIIZA_MOBILE_APLCTN_ESTT_AT,UTILIIZA_MOBILE_APLCTN_HSPTL_PHARM_MEDIC_SEARCH_AT,UTILIIZA_MOBILE_APLCTN_USEGT_AT,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,HSHLD_INCOME_DGREE_NM,OCCP_NM,ANSWRR_OC_AREA_NM
73,20230501,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,F,30대,미혼 / 비혼,600만원,사무직,서울
100,20230501,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,M,40대,기혼,600만원,사무직,경기
102,20230501,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,F,20대,미혼 / 비혼,200만원,대학생,인천
103,20230501,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,M,50대이상,"기타(이혼, 사별 등)",100만원,무직,경기
104,20230501,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,M,30대,미혼 / 비혼,400만원,사무직,경기
110,20230501,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,M,50대이상,기혼,500만원,경영/관리직,경기
111,20230501,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,M,40대,기혼,"1,000만원 이상",사무직,충남
112,20230501,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,M,50대이상,기혼,500만원,자영업,경남
114,20230501,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,M,30대,기혼,"1,000만원 이상",사무직,서울
118,20230501,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,F,20대,미혼 / 비혼,900만원,사무직,서울
120,20230501,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,F,40대,기혼,500만원,전업주부,부산
126,20230501,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,F,20대,미혼 / 비혼,700만원,대학생,서울
128,20230501,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,F,50대이상,기혼,400만원,전업주부,경기
129,20230501,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,F,30대,미혼 / 비혼,모름,전문직,인천
130,20230501,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,600만원,사무직,경기
131,20230501,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,M,30대,미혼 / 비혼,400만원,사무직,인천
