RESPOND_ID,EXAMIN_BEGIN_DE,UTILIIZA_MOBILE_APLCTN_MUSIC_PBLPRFR_K_IDOL_AT,UTILIIZA_MOBILE_APLCTN_GAME_AT,UTILIIZA_MOBILE_APLCTN_PHT_AT,UTILIIZA_MOBILE_APLCTN_BRDCST_VIDO_AT,UTILIIZA_MOBILE_APLCTN_CMC_WEBTOON_AT,UTILIIZA_MOBILE_APLCTN_SEARCH_PORTAL_AT,UTILIIZA_MOBILE_APLCTN_FNC_AT,UTILIIZA_MOBILE_APLCTN_ADVANTK_AT,UTILIIZA_MOBILE_APLCTN_TOUR_AT,UTILIIZA_MOBILE_APLCTN_FOOD_ORDER_AT,UTILIIZA_MOBILE_APLCTN_GBRSTRNT_RECOMEND_RESVE_AT,UTILIIZA_MOBILE_APLCTN_SHOPNG_AT,UTILIIZA_MOBILE_APLCTN_WRKOT_AT,UTILIIZA_MOBILE_APLCTN_EWALLET_AT,UTILIIZA_MOBILE_APLCTN_CLEAN_DCCS_AT,UTILIIZA_MOBILE_APLCTN_ESTT_AT,UTILIIZA_MOBILE_APLCTN_HSPTL_PHARM_MEDIC_SEARCH_AT,UTILIIZA_MOBILE_APLCTN_USEGT_AT,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,HSHLD_INCOME_DGREE_NM,OCCP_NM,ANSWRR_OC_AREA_NM
132,20230501,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,M,50대이상,기혼,600만원,경영/관리직,대구
135,20230501,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,F,20대,미혼 / 비혼,200만원,사무직,대구
141,20230501,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,F,30대,미혼 / 비혼,200만원,대학생,부산
145,20230501,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,F,20대,미혼 / 비혼,800만원,대학생,충남
146,20230501,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,Y,F,20대,미혼 / 비혼,500만원,판매/서비스직,울산
149,20230501,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,F,50대이상,기혼,700만원,사무직,경기
151,20230501,Y,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,F,20대,미혼 / 비혼,500만원,"자유직 (예술가, 종교인 등)",서울
152,20230501,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,F,20대,미혼 / 비혼,모름,재수/입시/유학 준비,충북
154,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,F,20대,미혼 / 비혼,모름,기술직,경북
155,20230501,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,M,30대,기혼,700만원,사무직,대구
156,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,F,30대,기혼,600만원,사무직,경기
157,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,F,30대,미혼 / 비혼,400만원,사무직,서울
160,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,M,40대,기혼,800만원,사무직,경기
163,20230501,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,200만원,무직,광주
165,20230501,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,F,30대,미혼 / 비혼,600만원,전문직,경기
168,20230501,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,F,30대,기혼,500만원,기타,경기
169,20230501,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,M,40대,기혼,700만원,사무직,울산
173,20230501,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,F,40대,미혼 / 비혼,500만원,사무직,대구
175,20230501,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,M,40대,기혼,500만원,자영업,경기
176,20230501,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,100만원 미만,자영업,서울
178,20230501,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,800만원,기술직,서울
184,20230501,Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,F,50대이상,기혼,800만원,"자유직 (예술가, 종교인 등)",서울
185,20230501,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,M,50대이상,"기타(이혼, 사별 등)",600만원,자영업,서울
187,20230501,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,F,40대,기혼,"1,000만원 이상",전업주부,대구
188,20230501,N,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,Y,F,40대,기혼,800만원,전업주부,서울
190,20230501,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,M,30대,미혼 / 비혼,600만원,판매/서비스직,서울
194,20230501,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,200만원,기능/숙련공,경기
200,20230501,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,F,40대,기혼,800만원,사무직,대구
201,20230501,Y,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,M,50대이상,기혼,"1,000만원",경영/관리직,서울
203,20230501,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,Y,M,50대이상,기혼,500만원,기술직,대구
204,20230501,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,M,40대,기혼,400만원,사무직,경북
209,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,M,30대,기혼,400만원,사무직,서울
210,20230501,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,M,50대이상,기혼,400만원,사무직,경기
214,20230501,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,M,50대이상,기혼,300만원,"자유직 (예술가, 종교인 등)",경기
216,20230501,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,M,50대이상,"기타(이혼, 사별 등)",500만원,일반작업직,경기
217,20230501,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,M,50대이상,기혼,800만원,자영업,경기
218,20230501,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,F,50대이상,"기타(이혼, 사별 등)",800만원,자영업,서울
219,20230501,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,M,50대이상,기혼,700만원,일반작업직,서울
220,20230501,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,M,50대이상,기혼,400만원,무직,부산
223,20230501,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,M,50대이상,기혼,900만원,일반작업직,대구
227,20230501,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,500만원,대학생,전북
229,20230501,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,M,50대이상,기혼,600만원,사무직,충남
230,20230501,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,F,30대,기혼,500만원,사무직,경기
233,20230501,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,M,40대,기혼,800만원,기능/숙련공,경기
238,20230501,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,M,50대이상,기혼,400만원,무직,세종
244,20230501,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,50대이상,기혼,500만원,무직,경기
245,20230501,N,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,M,50대이상,"기타(이혼, 사별 등)",400만원,무직,경기
249,20230501,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,F,30대,미혼 / 비혼,300만원,무직,울산
255,20230501,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,M,50대이상,기혼,200만원,기능/숙련공,경북
257,20230501,N,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,F,40대,기혼,600만원,사무직,부산
259,20230501,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,M,50대이상,기혼,800만원,사무직,경기
260,20230501,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,M,50대이상,기혼,800만원,기술직,전북
261,20230501,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,N,N,N,M,30대,미혼 / 비혼,800만원,사무직,경기
263,20230501,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,M,50대이상,기혼,600만원,사무직,경기
266,20230501,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,M,50대이상,"기타(이혼, 사별 등)",300만원,기타,대구
267,20230501,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,M,40대,기혼,600만원,사무직,경남
268,20230501,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,M,50대이상,기혼,600만원,사무직,경기
271,20230501,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,M,30대,기혼,200만원,사무직,경기
275,20230501,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,M,50대이상,기혼,400만원,판매/서비스직,대구
277,20230501,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,F,40대,기혼,300만원,전업주부,울산
278,20230501,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,M,50대이상,기혼,"1,000만원 이상",전문직,서울
280,20230501,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,F,20대,미혼 / 비혼,200만원,사무직,경기
281,20230501,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,M,50대이상,기혼,800만원,기술직,울산
282,20230501,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,N,Y,M,50대이상,기혼,"1,000만원",자영업,전북
283,20230501,Y,N,Y,Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,F,50대이상,기혼,700만원,기술직,경남
284,20230501,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,N,F,50대이상,"기타(이혼, 사별 등)",600만원,무직,부산
286,20230501,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,M,50대이상,기혼,600만원,사무직,경기
287,20230501,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,50대이상,기혼,300만원,판매/서비스직,전북
288,20230501,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,M,50대이상,미혼 / 비혼,100만원 미만,무직,전북
289,20230501,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,M,40대,기혼,500만원,전문직,울산
298,20230501,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,M,50대이상,기혼,500만원,사무직,경북
303,20230501,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,M,50대이상,기혼,"1,000만원",무직,경남
304,20230501,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,F,50대이상,미혼 / 비혼,100만원 미만,기술직,경기
307,20230501,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,M,30대,미혼 / 비혼,"1,000만원 이상",기능/숙련공,서울
310,20230501,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,M,40대,기혼,"1,000만원 이상",사무직,경기
318,20230501,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,F,30대,미혼 / 비혼,300만원,판매/서비스직,서울
319,20230501,N,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,M,40대,기혼,300만원,기술직,충남
321,20230501,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,M,50대이상,기혼,800만원,사무직,서울
327,20230501,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,F,30대,미혼 / 비혼,200만원,전문직,전북
328,20230501,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,M,50대이상,기혼,"1,000만원 이상",자영업,대구
339,20230501,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,F,30대,기혼,500만원,전업주부,경남
340,20230501,N,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,N,M,50대이상,기혼,"1,000만원",전문직,제주
342,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,M,50대이상,기혼,700만원,기술직,부산
350,20230501,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,F,50대이상,기혼,400만원,사무직,경기
351,20230501,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,F,20대,미혼 / 비혼,모름,판매/서비스직,충남
355,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,F,40대,기혼,"1,000만원 이상",판매/서비스직,강원
357,20230501,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,M,50대이상,기혼,700만원,전문직,경기
359,20230501,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,F,30대,미혼 / 비혼,200만원,전문직,광주
360,20230501,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,F,50대이상,기혼,300만원,기능/숙련공,대전
362,20230501,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,M,50대이상,미혼 / 비혼,700만원,자영업,강원
363,20230501,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,F,30대,기혼,300만원,전업주부,충남
364,20230501,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,M,50대이상,기혼,300만원,무직,서울
365,20230501,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,Y,M,50대이상,기혼,400만원,판매/서비스직,강원
369,20230501,N,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,F,50대이상,기혼,400만원,기술직,부산
370,20230501,N,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,F,50대이상,기혼,400만원,기타,전북
373,20230501,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,M,50대이상,기혼,400만원,기술직,경남
374,20230501,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,M,40대,기혼,700만원,기술직,부산
375,20230501,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,F,30대,미혼 / 비혼,500만원,판매/서비스직,서울
378,20230501,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,M,50대이상,기혼,400만원,무직,충북
379,20230501,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,M,50대이상,기혼,900만원,기술직,경남
380,20230501,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,F,30대,기혼,400만원,전업주부,서울
381,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,F,30대,기혼,500만원,사무직,충북
382,20230501,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,M,50대이상,"기타(이혼, 사별 등)",300만원,기능/숙련공,경기
386,20230501,N,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,Y,F,50대이상,기혼,800만원,기술직,충남
394,20230501,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,M,40대,미혼 / 비혼,100만원 미만,자영업,경기
395,20230501,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,F,30대,미혼 / 비혼,모름,기술직,서울
397,20230501,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,M,50대이상,기혼,700만원,사무직,경기
400,20230501,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,Y,N,M,50대이상,기혼,300만원,기타,서울
407,20230501,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,F,50대이상,기혼,700만원,기능/숙련공,경기
413,20230501,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,M,50대이상,기혼,400만원,무직,경기
417,20230501,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,F,40대,"기타(이혼, 사별 등)",500만원,전문직,서울
418,20230501,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,M,40대,기혼,600만원,기술직,부산
420,20230501,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,M,50대이상,기혼,500만원,판매/서비스직,경기
421,20230501,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,M,50대이상,기혼,800만원,사무직,경기
422,20230501,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,M,50대이상,기혼,400만원,기능/숙련공,경기
429,20230501,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,F,40대,기혼,800만원,전업주부,경기
431,20230501,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,M,40대,기혼,400만원,기술직,전북
433,20230501,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,F,50대이상,기혼,500만원,전업주부,부산
437,20230501,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,M,50대이상,기혼,200만원,기타,경기
438,20230501,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,M,40대,미혼 / 비혼,600만원,경영/관리직,서울
439,20230501,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,N,Y,N,F,50대이상,기혼,900만원,판매/서비스직,경남
444,20230501,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,F,40대,기혼,600만원,기술직,경기
447,20230501,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,M,50대이상,미혼 / 비혼,300만원,"자유직 (예술가, 종교인 등)",경기
448,20230501,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,M,30대,미혼 / 비혼,"1,000만원 이상",기술직,서울
449,20230501,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,50대이상,미혼 / 비혼,900만원,경영/관리직,경기
450,20230501,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,F,30대,기혼,600만원,사무직,경남
451,20230501,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,F,50대이상,기혼,400만원,전업주부,울산
452,20230501,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,M,40대,"기타(이혼, 사별 등)",400만원,사무직,서울
454,20230501,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,F,30대,미혼 / 비혼,모름,기타,광주
456,20230501,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,F,50대이상,기혼,500만원,전업주부,서울
463,20230501,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,M,50대이상,기혼,500만원,기타,광주
469,20230501,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,Y,Y,M,50대이상,"기타(이혼, 사별 등)",200만원,기타,경기
477,20230501,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,M,20대,미혼 / 비혼,"1,000만원 이상",무직,경기
479,20230501,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,M,40대,기혼,500만원,기술직,경북
483,20230501,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,F,50대이상,기혼,400만원,자영업,경북
484,20230501,Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,M,50대이상,"기타(이혼, 사별 등)",100만원,판매/서비스직,인천
485,20230501,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,800만원,사무직,경기
487,20230501,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,M,50대이상,미혼 / 비혼,300만원,기능/숙련공,부산
495,20230501,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,F,30대,미혼 / 비혼,800만원,기술직,인천
502,20230501,Y,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,300만원,사무직,충북
503,20230501,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,F,50대이상,기혼,400만원,자영업,서울
504,20230501,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,M,50대이상,기혼,"1,000만원 이상","자유직 (예술가, 종교인 등)",경기
508,20230501,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,F,30대,기혼,300만원,전업주부,충남
511,20230501,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,M,30대,미혼 / 비혼,300만원,"자유직 (예술가, 종교인 등)",서울
513,20230501,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,M,40대,미혼 / 비혼,400만원,사무직,세종
518,20230501,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,M,20대,미혼 / 비혼,"1,000만원 이상",일반작업직,경기
519,20230501,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,F,30대,미혼 / 비혼,400만원,무직,서울
520,20230501,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,M,40대,기혼,"1,000만원 이상",전문직,경기
528,20230501,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,F,50대이상,기혼,"1,000만원",전업주부,서울
534,20230501,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,F,40대,미혼 / 비혼,700만원,사무직,서울
535,20230501,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,M,30대,미혼 / 비혼,500만원,기능/숙련공,서울
